央卫,#genre#
CCTV13-新闻,http://218.104.239.114:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-1新闻,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031108/1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3
CCTV13-2新闻,http://14.19.199.43:8089/hls/32/index.m3u8
CCTV13-3新闻,http://111.75.151.236:50085/newlive/live/hls/13/live.m3u8
CCTV13-4新闻,http://116.169.47.114:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁,http://59.44.192.22:65000/hls/21/index.m3u8
辽宁1,http://60.17.96.37:8089/rtp/232.0.0.154:1234
辽宁3,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226760/index.m3u8
辽宁4,http://dassby.qqff.top:99/live/辽宁都市/index.m3u8

